"","Row.names","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","age","gender","Extraverion","Openness","Test","Test2"
"25","Case0025",1,2,4,1,4,1,5,4,4,5,3,2,4,4,1,4,3,5,3,1,32,"Male",3.4,2.7,2.4,3.6
"26","Case0026",NA,5,4,4,2,2,2,5,4,4,3,4,4,3,5,4,3,4,4,5,21,"Male",3.4,3.4,3.6,2.4
"27","Case0027",4,2,3,3,3,5,2,4,4,3,2,4,4,1,2,5,4,3,4,2,27,"Male",2.7,2.9,3,3
"28","Case0028",5,4,3,5,2,5,2,5,1,4,1,3,2,4,1,2,3,2,3,4,28,"Male",2.8,3.1,3.8,2.2
"29","Case0029",2,5,4,1,3,5,4,2,4,3,4,5,4,3,4,5,1,4,2,3,33,"Female",3.2,3.8,3,3
"30","Case0030",4,5,2,5,5,4,3,4,3,1,1,1,5,5,3,3,2,4,3,3,19,"Female",3.5,3.3,4.2,1.8
"31","Case0031",4,4,4,2,5,4,2,2,2,4,1,5,5,4,2,3,5,5,2,2,30,"Male",3.4,3.3,3.8,2.2
"32","Case0032",3,1,4,4,1,2,4,2,2,3,3,3,4,2,1,4,4,2,4,1,29,"Male",2.6,2.6,2.6,3.4
"33","Case0033",5,2,3,3,2,2,3,4,1,2,1,NA,3,4,1,3,3,5,2,2,39,"Female",2.4,2.8,3,3
"34","Case0034",4,4,3,4,4,4,4,1,3,3,4,4,1,4,1,4,1,4,3,5,38,"Male",2.6,4.1,3.8,2.2
"35","Case0035",3,1,2,5,2,4,3,1,3,1,2,2,3,5,3,5,5,2,2,2,32,"Male",2.3,3.1,2.6,3.4
"36","Case0036",1,5,3,1,3,3,1,1,1,3,1,3,3,3,2,4,4,2,5,1,25,"Female",3.4,2.4,2.6,3.4
"37","Case0037",3,5,2,3,3,5,3,4,4,1,4,3,2,2,5,1,1,2,4,5,39,"Male",3.3,3.3,3.2,2.8
"38","Case0038",4,5,2,3,4,2,3,3,2,2,4,2,3,1,3,3,5,1,2,5,39,"Male",2.9,2.2,3.6,2.4
"39","Case0039",4,3,5,2,2,2,4,4,1,3,1,3,3,4,4,5,1,2,4,5,39,"Female",3.1,3.1,3.2,2.8
"40","Case0040",1,1,3,NA,1,4,5,4,2,2,4,1,1,4,2,4,2,4,4,1,35,"Male",2.5,2.8,1.8,4.2
"41","Case0041",4,2,3,4,5,4,5,3,3,3,4,1,5,5,5,3,2,1,5,4,18,"Female",3.7,3.2,3.6,2.4
"42","Case0042",4,4,2,4,3,2,2,4,1,4,5,2,1,1,4,3,2,4,4,4,27,"Female",2.8,2.6,3.4,2.6
"43","Case0043",2,3,2,1,4,2,3,4,2,3,4,2,1,2,2,1,2,1,4,4,38,"Female",3.1,2.2,2.4,3.6
"44","Case0044",4,2,3,4,5,3,5,4,2,3,4,3,3,5,4,4,4,2,3,4,38,"Female",3.1,3,3.6,2.4
"45","Case0045",4,5,3,3,3,4,4,4,3,3,3,5,4,2,2,4,4,5,3,4,33,"Male",3.1,3.3,3.6,2.4
"46","Case0046",4,2,3,4,1,4,2,2,4,1,3,2,4,5,4,3,2,4,4,2,21,"Male",2.6,3.6,2.8,3.2
"47","Case0047",3,1,4,3,5,2,4,4,3,5,2,1,4,2,3,4,5,2,3,1,20,"Female",3.4,2.1,3.2,2.8
"48","Case0048",3,2,4,2,5,3,2,3,4,2,3,3,1,1,5,2,5,4,4,3,33,"Male",3.1,2.8,3.2,2.8
"49","Case0049",5,1,5,5,4,5,5,2,4,4,5,4,2,5,2,5,4,4,1,2,22,"Female",2.2,4,4,2
"50","Case0050",2,5,4,4,2,4,2,3,3,2,4,1,4,1,2,4,5,5,4,4,23,"Female",2.9,3,3.4,2.6
"51","Case0051",4,2,2,2,4,2,2,3,1,3,4,2,3,5,2,1,3,2,3,3,31,"Female",2.8,2.5,2.8,3.2
"52","Case0052",5,3,3,3,5,2,3,4,2,3,2,4,5,2,5,3,2,3,5,4,22,"Male",3.7,2.9,3.8,2.2
"53","Case0053",2,2,4,5,5,4,4,4,4,4,1,3,5,4,2,4,3,2,3,5,36,"Male",3.6,3.6,3.6,2.4
"54","Case0054",3,4,3,5,2,4,3,1,3,4,2,5,1,5,4,3,4,3,2,5,22,"Female",3,4,3.4,2.6
"55","Case0055",3,4,2,3,5,3,1,2,3,2,2,5,5,4,2,3,5,4,3,3,24,"Male",3.2,3.2,3.4,2.6
"56","Case0056",5,2,2,2,2,2,4,3,5,5,2,4,3,2,3,5,2,2,NA,4,33,"Male",2.8,3,2.6,3.4
"57","Case0057",2,4,4,2,4,4,5,1,4,2,5,5,2,2,3,2,4,2,5,4,29,"Female",3.4,3.4,3.2,2.8
"58","Case0058",5,1,3,3,4,1,3,2,5,3,3,4,3,4,2,2,4,2,4,5,21,"Male",2.8,3.3,3.2,2.8
"59","Case0059",2,5,3,1,4,2,4,3,4,NA,2,3,1,4,4,3,5,4,2,3,39,"Male",3.4,2.8,3,3
"60","Case0060",3,3,2,5,1,2,5,3,3,1,5,2,3,2,3,1,NA,3,3,4,38,"Male",2.8,2.9,2.8,3.2
"61","Case0061",5,4,4,1,4,5,2,3,1,3,2,1,2,2,3,2,3,5,3,2,30,"Female",3,2.7,3.6,2.4
"62","Case0062",3,2,5,5,3,4,4,2,5,3,2,2,1,3,2,4,3,4,2,1,30,"Male",2.6,3.6,3.6,2.4
"63","Case0063",3,3,3,3,1,5,4,2,3,3,4,1,5,5,2,3,1,2,5,2,38,"Female",3.1,3.3,2.6,3.4
"64","Case0064",2,5,2,4,1,4,3,4,1,5,2,1,5,4,4,2,3,5,4,4,35,"Female",3.9,3,2.8,3.2
"65","Case0065",3,4,5,2,4,4,3,4,2,1,2,2,5,3,1,3,4,5,5,3,21,"Male",3.3,3,3.6,2.4
"66","Case0066",4,1,4,3,2,2,4,4,2,4,5,4,3,3,1,5,3,3,4,NA,31,"Female",2.3,2.9,2.8,3.2
"67","Case0067",2,2,5,3,1,3,1,3,2,5,4,3,1,4,4,2,2,5,1,5,20,"Female",2.5,3.7,2.6,3.4
"68","Case0068",5,3,5,2,4,4,5,1,3,3,3,1,5,3,3,4,4,3,2,2,19,"Female",3.1,3,3.8,2.2
"69","Case0069",3,4,4,2,1,2,2,3,2,3,1,2,1,5,2,5,3,3,3,2,22,"Female",2.5,2.8,2.8,3.2
"70","Case0070",2,3,2,4,1,3,2,2,4,3,2,3,3,4,3,4,5,5,1,3,26,"Male",2.6,3.3,2.4,3.6
"71","Case0071",4,4,1,4,4,3,4,1,3,1,3,5,5,1,3,2,5,3,2,5,36,"Female",3.2,3.1,3.4,2.6
"72","Case0072",2,NA,2,4,2,2,5,5,3,3,2,3,5,3,2,3,2,3,4,4,23,"Female",3.5,2.9,2.6,3.4
"73","Case0073",4,5,2,2,1,3,3,3,3,4,2,4,1,2,2,2,NA,3,3,3,39,"Male",2.9,2.8,2.8,3.2
"74","Case0074",2,3,2,2,4,1,5,3,1,1,5,5,1,4,4,3,5,3,4,5,39,"Female",3,2.7,2.6,3.4
"75","Case0075",3,3,5,3,1,2,4,2,2,1,3,2,2,3,5,4,4,3,5,3,20,"Female",2.9,2.9,3,3
"76","Case0076",4,3,3,2,5,3,2,3,3,3,3,3,2,5,4,2,2,5,2,3,38,"Male",3,3.4,3.4,2.6
"77","Case0077",1,2,2,2,2,3,3,4,4,4,3,3,1,3,4,3,1,5,1,3,33,"Female",2.8,3.2,1.8,4.2
"78","Case0078",2,3,2,4,2,3,3,5,2,3,3,3,3,4,4,5,5,1,2,3,31,"Female",2.8,2.4,2.6,3.4
"79","Case0079",2,4,3,4,5,2,1,5,1,1,5,3,3,2,5,4,5,3,3,2,34,"Male",2.9,2.2,3.6,2.4
"80","Case0080",2,1,2,5,3,2,4,2,4,2,3,1,2,1,3,4,1,2,4,2,29,"Male",2.8,2.8,2.6,3.4
"81","Case0081",5,5,2,1,2,2,4,3,2,3,3,4,2,2,2,3,5,4,3,5,25,"Male",2.8,2.6,3,3
"82","Case0082",2,3,5,4,2,2,5,3,3,3,1,4,3,3,3,2,5,1,5,3,27,"Male",3.7,2.9,3.2,2.8
"83","Case0083",3,4,NA,3,3,2,3,2,5,2,1,4,2,2,3,3,2,2,2,2,35,"Male",3,3.1,3.2,2.8
"84","Case0084",4,4,4,2,2,3,4,3,2,1,3,3,1,2,2,4,2,3,3,2,30,"Male",2.4,2.8,3.2,2.8
"85","Case0085",5,1,3,4,4,2,5,3,2,3,3,2,3,4,2,1,5,1,5,3,29,"Female",3.2,2.5,3.4,2.6
"86","Case0086",4,3,5,1,1,4,4,1,NA,4,1,3,1,3,5,2,2,1,3,3,26,"Female",3.2,3.2,2.8,3.2
"87","Case0087",4,2,3,4,5,4,3,2,3,3,NA,5,4,5,2,3,3,4,3,1,33,"Male",3,3.6,3.6,2.4
"88","Case0088",2,3,4,3,3,4,2,3,2,2,4,2,4,1,4,2,3,3,4,3,22,"Female",3.2,2.8,3,3
"89","Case0089",2,2,2,2,4,1,5,2,2,2,2,5,4,2,3,3,2,2,2,1,26,"Male",3.3,2.5,2.4,3.6
"90","Case0090",1,4,3,5,1,4,3,NA,2,2,2,4,1,2,5,4,3,2,1,3,29,"Male",2.8,3.1,2.8,3.2
"91","Case0091",3,2,4,3,4,1,3,2,2,4,5,2,1,4,5,4,2,2,4,3,30,"Female",2.9,2.9,3.2,2.8
"92","Case0092",3,2,3,4,4,4,3,1,2,5,2,4,3,5,5,3,2,NA,3,4,26,"Female",3.5,3.8,3.2,2.8
"93","Case0093",4,2,4,2,3,1,1,3,4,2,2,1,3,1,4,2,4,2,4,4,22,"Female",2.9,2.4,3,3
"94","Case0094",2,3,2,5,5,3,2,4,4,1,2,3,3,5,1,5,2,4,2,4,26,"Male",2.6,3.6,3.4,2.6
"95","Case0095",5,1,1,2,3,5,5,3,4,2,5,2,4,3,2,2,2,5,2,5,24,"Male",2.5,3.4,2.4,3.6
"96","Case0096",4,5,2,4,3,3,4,1,4,1,3,2,1,3,2,1,2,2,2,2,33,"Female",2.8,3.1,3.6,2.4
"97","Case0097",4,4,4,5,5,2,5,4,4,3,4,2,1,3,1,3,3,1,3,5,30,"Male",2.9,3.1,4.4,1.6
"98","Case0098",3,4,5,2,4,2,2,5,2,1,3,2,3,4,3,3,4,4,3,3,35,"Female",2.9,2.7,3.6,2.4
"99","Case0099",5,1,1,3,1,2,5,3,4,3,4,5,4,1,1,1,4,5,3,3,30,"Female",2.6,2.9,2.2,3.8
"100","Case0100",3,3,5,3,2,3,5,3,4,2,1,4,4,1,3,5,1,1,3,2,36,"Female",3.1,3.1,3.2,2.8
