"case_id","gender","country","at1","at2","at3","at4","pb1","sn1","sn2","sn3","sn4","pb2","pb3","pb4","bi1","bi2","bi3","be1","be2","be3"
"Case 21","Female","Country C",5,5,4,4,4,4,5,5,5,7,7,5,3,3,5,4,3,4
"Case 22","Male","Country B",6,5,5,4,3,5,7,5,5,4,4,6,3,4,4,3,3,3
"Case 23","Male","Country B",5,5,5,5,5,3,6,5,5,8,6,5,4,2,6,3,4,5
"Case 24","Male","Country C",5,5,6,5,4,6,8,4,6,5,4,5,4,2,5,4,4,5
"Case 25","Female","Country A",5,5,5,4,5,5,7,6,6,6,8,5,3,2,4,3,4,5
"Case 26","Male","Country B",6,5,5,4,4,4,6,5,6,6,5,7,3,2,6,2,2,4
"Case 27","Male","Country C",6,5,7,5,5,4,5,4,5,7,8,6,3,3,4,4,3,4
"Case 28","Female","Country B",7,6,6,4,5,4,6,5,5,6,5,6,4,3,5,4,3,5
"Case 29","Male","Country A",5,5,4,4,5,4,6,5,6,7,7,4,3,3,4,3,3,4
"Case 30","Female","Country B",4,5,6,4,4,4,6,4,5,6,7,5,2,3,5,4,4,5
"Case 31","Female","Country A",6,5,5,4,5,4,5,5,5,6,6,5,2,3,3,4,4,5
"Case 32","Female","Country B",5,5,6,5,4,5,7,4,6,4,5,5,3,2,5,3,4,5
"Case 33","Female","Country B",6,5,6,5,5,4,6,5,5,6,5,4,3,3,5,4,3,4
"Case 34","Male","Country C",5,5,6,4,3,3,4,5,4,6,6,6,1,4,4,2,3,4
"Case 35","Male","Country B",6,5,6,5,5,5,5,4,6,7,6,5,3,2,5,3,3,4
"Case 36","Male","Country C",6,5,5,5,5,4,6,6,5,7,5,4,3,4,5,4,4,4
"Case 37","Female","Country B",5,4,5,5,5,4,5,6,5,6,6,5,3,2,5,3,4,6
"Case 38","Female","Country C",5,4,5,5,5,4,5,6,5,7,6,4,2,4,4,3,2,5
"Case 39","Male","Country C",5,5,5,4,3,4,6,6,5,6,4,6,2,3,4,3,4,6
"Case 40","Male","Country B",6,5,7,4,4,4,6,5,5,6,6,6,3,3,4,4,3,4
"Case 41","Male","Country B",5,6,6,4,3,6,7,4,6,6,6,5,2,3,4,2,3,5
"Case 42","Female","Country B",6,5,5,5,4,4,7,5,5,4,5,4,3,3,5,3,4,4
"Case 43","Female","Country C",5,6,5,4,4,5,6,5,6,5,4,5,3,3,5,3,3,5
"Case 44","Male","Country B",6,6,6,4,4,5,6,5,5,5,5,5,3,3,4,2,3,6
"Case 45","Female","Country C",6,5,6,4,5,4,5,6,5,5,5,5,1,4,4,3,2,4
"Case 46","Female","Country A",6,6,6,5,5,4,5,4,6,6,6,6,2,4,5,3,3,4
"Case 47","Male","Country C",6,6,7,4,4,4,5,5,5,6,5,6,4,2,5,3,4,4
"Case 48","Female","Country B",5,4,7,5,6,4,6,5,5,7,8,4,4,2,5,3,4,5
"Case 49","Female","Country B",5,5,4,6,5,4,4,6,6,5,7,4,3,3,5,4,3,5
"Case 50","Female","Country B",5,5,6,4,5,4,5,6,6,7,5,5,2,3,4,3,3,5
"Case 51","Male","Country B",5,5,6,4,4,4,6,5,5,5,4,5,3,3,4,3,3,5
"Case 52","Male","Country C",6,5,5,5,3,5,8,4,6,6,5,6,3,4,4,3,3,5
"Case 53","Female","Country A",6,5,5,4,4,5,6,5,6,7,5,6,3,3,5,2,3,4
"Case 54","Female","Country A",5,5,5,5,5,4,5,5,6,5,7,4,3,3,5,3,3,4
"Case 55","Male","Country C",5,6,5,4,4,5,5,5,6,6,5,5,3,3,5,3,3,4
"Case 56","Female","Country C",6,5,6,4,4,4,7,5,5,6,6,6,3,3,4,3,3,3
"Case 57","Male","Country A",5,6,4,4,4,3,5,7,4,6,6,6,2,3,4,2,3,4
"Case 58","Male","Country B",6,6,6,5,5,4,5,6,5,5,5,5,3,3,4,3,4,4
"Case 59","Female","Country A",4,5,6,4,4,3,5,5,5,5,6,7,3,3,4,3,2,3
"Case 60","Female","Country B",6,5,6,4,4,5,6,3,5,5,5,6,2,3,4,3,3,4
"Case 61","Male","Country B",6,6,6,4,4,4,6,5,5,5,6,5,2,4,4,3,4,4
"Case 62","Female","Country C",6,5,6,4,5,4,6,7,5,5,6,5,3,2,5,4,4,5
"Case 63","Male","Country B",6,4,6,5,4,5,7,4,5,7,6,5,4,2,5,4,4,4
"Case 64","Female","Country A",5,6,5,5,4,3,6,6,5,6,6,4,3,3,4,4,4,6
"Case 65","Male","Country A",6,5,4,4,5,4,6,4,5,7,7,5,3,2,5,4,4,5
"Case 66","Male","Country B",6,5,5,4,5,4,6,5,6,7,5,4,3,2,5,5,3,4
"Case 67","Female","Country A",7,4,5,4,4,4,5,5,5,5,5,6,3,3,4,3,3,5
"Case 68","Female","Country B",5,5,3,4,4,5,5,4,6,6,5,5,2,3,4,4,4,4
"Case 69","Male","Country C",6,5,6,6,4,5,6,4,6,6,5,6,2,3,4,4,3,4
"Case 70","Male","Country B",6,4,7,5,4,5,7,4,6,5,5,6,3,2,5,2,2,4
"Case 71","Female","Country C",5,5,6,4,3,5,6,6,5,5,6,6,3,3,5,3,3,4
"Case 72","Male","Country A",5,5,5,3,4,5,5,5,5,6,5,6,2,4,2,3,2,3
"Case 73","Male","Country A",6,5,8,5,5,3,6,4,4,6,6,6,3,3,6,3,3,5
"Case 74","Female","Country C",5,6,5,2,3,5,6,5,6,4,4,6,2,3,4,2,3,3
"Case 75","Female","Country C",5,5,5,5,5,5,7,4,5,6,6,5,3,3,4,3,3,3
"Case 76","Male","Country A",5,5,6,5,4,5,5,4,6,5,6,5,3,3,5,4,3,3
"Case 77","Male","Country B",5,5,8,5,6,4,7,6,5,7,8,4,3,2,5,3,3,5
"Case 78","Male","Country B",5,5,5,4,5,4,5,5,5,7,6,5,2,3,4,2,4,4
"Case 79","Male","Country C",4,6,5,4,5,4,6,5,5,7,7,5,2,4,3,2,3,3
"Case 80","Male","Country A",5,5,6,4,4,4,5,6,6,5,5,5,3,3,4,2,2,3
"Case 81","Female","Country B",6,5,6,4,4,5,6,6,6,5,6,5,3,3,4,3,3,5
"Case 82","Male","Country B",5,5,7,5,5,5,7,5,6,6,6,5,3,3,4,3,3,6
"Case 83","Male","Country A",5,5,5,4,4,5,7,4,5,5,5,6,3,3,4,3,2,3
"Case 84","Female","Country C",4,6,3,4,6,5,7,5,6,6,5,5,3,3,5,4,4,4
"Case 85","Female","Country B",5,4,7,5,5,4,6,4,5,6,6,5,3,3,4,4,3,4
"Case 86","Male","Country C",5,6,6,4,5,5,6,4,5,7,6,5,3,3,5,4,3,5
"Case 87","Female","Country A",6,5,5,5,5,3,4,6,5,5,5,4,2,3,4,3,3,3
"Case 88","Male","Country A",5,5,8,6,6,5,7,4,6,8,7,5,4,2,5,4,4,5
"Case 89","Female","Country A",5,5,6,4,4,4,5,5,5,4,5,6,2,4,3,3,2,4
"Case 90","Male","Country A",5,5,7,5,4,3,4,6,4,5,5,6,1,4,3,3,3,4
"Case 91","Female","Country C",6,5,7,5,5,5,5,4,6,5,6,5,3,3,4,4,3,4
"Case 92","Male","Country B",6,6,5,4,4,5,6,5,5,7,5,7,3,3,4,3,4,3
"Case 93","Female","Country A",6,5,6,4,5,4,5,5,4,6,6,4,3,4,4,3,3,4
"Case 94","Male","Country B",5,6,6,5,5,5,6,4,6,6,5,6,3,2,5,4,3,5
"Case 95","Female","Country C",6,5,5,5,5,4,6,5,5,5,6,5,3,3,3,4,3,4
"Case 96","Male","Country C",5,5,4,5,5,5,7,5,6,6,6,5,3,3,4,3,3,3
"Case 97","Female","Country A",5,5,6,5,5,5,7,5,6,8,6,6,3,3,5,4,3,4
"Case 98","Female","Country B",5,6,6,4,5,5,5,4,5,7,6,6,3,3,4,3,3,4
"Case 99","Male","Country A",5,5,5,4,3,5,5,5,6,5,4,6,2,4,4,3,3,4
"Case 100","Male","Country A",5,5,6,4,5,5,7,4,6,7,7,5,3,3,4,4,4,4
"Case 101","Female","Country B",6,6,6,6,4,6,8,4,6,6,6,6,4,3,4,3,3,5
"Case 102","Male","Country B",6,4,5,4,5,5,6,5,6,6,6,5,3,3,4,4,3,5
"Case 103","Female","Country C",4,4,5,4,4,5,5,5,5,5,6,5,3,2,5,2,3,4
"Case 104","Male","Country A",6,6,5,4,4,5,6,4,6,5,7,5,3,4,4,3,4,4
"Case 105","Male","Country B",6,5,6,4,4,5,6,5,6,6,6,6,3,3,4,3,3,5
"Case 106","Female","Country A",5,5,5,4,4,5,7,4,6,5,6,6,2,4,4,2,2,5
"Case 107","Female","Country A",5,6,4,4,4,5,6,5,6,6,7,5,2,3,6,3,2,4
"Case 108","Female","Country C",5,4,6,4,5,4,7,4,5,6,5,6,3,3,4,4,3,4
"Case 109","Male","Country B",7,5,7,4,4,5,6,5,6,5,5,6,3,3,5,3,4,4
"Case 110","Female","Country C",5,5,6,4,6,5,6,5,6,6,7,5,3,3,5,4,3,4
"Case 111","Female","Country B",5,5,5,4,5,4,7,6,5,6,6,5,2,3,4,4,4,4
"Case 112","Female","Country B",5,5,4,5,6,6,7,5,6,7,7,4,3,3,4,3,3,4
"Case 113","Male","Country A",5,5,6,4,5,6,6,3,6,5,5,6,2,3,4,4,3,4
"Case 114","Female","Country B",5,5,5,4,5,4,6,4,5,6,6,5,3,3,5,3,3,4
"Case 115","Female","Country B",6,5,7,4,4,5,5,5,6,6,6,6,2,4,4,1,3,4
"Case 116","Male","Country B",5,5,5,4,5,5,6,4,6,6,6,5,3,4,4,3,4,4
"Case 117","Male","Country A",5,5,7,4,4,5,6,4,6,6,6,5,2,4,3,3,3,5
"Case 118","Female","Country A",4,6,4,4,4,4,6,5,5,5,5,5,3,3,3,3,3,5
"Case 119","Female","Country C",6,4,6,6,6,5,7,4,6,6,8,4,3,3,5,4,2,5
"Case 120","Female","Country A",5,5,6,4,5,5,5,5,6,5,5,5,3,3,5,4,3,4
"Case 121","Female","Country A",5,5,6,5,5,3,6,5,5,5,5,5,3,3,4,4,3,4
"Case 122","Female","Country C",6,6,6,5,5,6,7,5,6,6,7,4,3,4,4,4,3,5
"Case 123","Female","Country B",5,6,5,4,4,3,6,5,5,6,4,6,2,3,4,2,2,4
"Case 124","Male","Country A",4,5,4,4,5,4,5,5,5,7,5,6,4,2,5,3,3,4
"Case 125","Female","Country A",5,4,5,4,3,4,6,6,5,5,5,6,3,3,3,3,2,4
"Case 126","Female","Country C",5,5,5,5,5,3,5,5,5,6,7,5,3,3,5,3,3,5
"Case 127","Male","Country C",5,5,6,4,5,5,7,5,6,5,6,6,2,3,4,4,3,5
"Case 128","Female","Country A",7,5,7,5,6,4,6,5,5,6,7,4,3,2,5,3,3,5
"Case 129","Female","Country C",5,5,5,4,5,3,6,6,5,6,6,4,3,3,4,5,4,4
"Case 130","Male","Country C",6,4,6,3,5,5,6,6,6,6,7,5,3,3,4,3,4,4
"Case 131","Male","Country C",4,5,4,4,5,4,6,5,5,6,6,5,3,3,6,4,4,4
"Case 132","Male","Country B",6,5,5,4,3,4,5,4,5,6,6,5,3,3,5,3,2,4
"Case 133","Male","Country C",5,5,6,4,5,4,6,5,5,6,6,5,3,3,5,3,4,5
"Case 134","Male","Country A",6,5,7,5,5,4,6,4,5,6,4,4,3,3,4,4,4,5
"Case 135","Female","Country A",6,4,5,6,5,4,5,6,5,6,6,5,2,3,4,3,2,4
"Case 136","Female","Country A",5,5,5,4,4,5,6,5,5,5,5,5,2,4,3,2,2,3
"Case 137","Male","Country A",5,6,6,4,5,5,6,5,5,7,7,5,3,2,5,4,3,5
"Case 138","Female","Country C",4,5,6,4,5,4,6,5,5,7,7,5,3,3,4,3,3,5
"Case 139","Female","Country B",6,5,5,5,5,5,6,5,6,6,7,5,2,3,3,3,2,4
"Case 140","Male","Country A",5,6,5,4,6,5,6,4,6,6,8,4,3,3,4,2,3,5
"Case 141","Female","Country A",7,5,6,4,5,5,7,5,6,6,6,5,3,3,5,3,3,4
"Case 142","Male","Country B",6,5,8,6,6,5,6,5,5,6,7,5,3,3,4,4,3,5
"Case 143","Male","Country A",6,4,7,5,4,4,6,5,5,5,4,6,2,3,5,3,3,4
"Case 144","Female","Country B",5,6,5,4,5,5,6,4,6,6,7,5,3,3,4,3,3,5
"Case 145","Female","Country B",5,5,5,4,6,4,5,5,5,7,6,5,3,3,5,3,4,5
"Case 146","Female","Country A",5,6,5,5,4,4,5,6,5,5,6,5,3,3,4,3,4,5
"Case 147","Female","Country A",6,5,6,5,5,4,6,5,5,5,7,5,3,3,5,4,4,4
"Case 148","Male","Country B",5,6,5,3,3,4,5,5,5,5,6,6,2,4,4,2,3,5
"Case 149","Female","Country A",6,4,5,4,4,6,7,3,7,6,6,5,3,2,5,3,3,4
"Case 150","Male","Country A",5,6,6,4,4,4,6,5,5,5,6,5,3,3,4,2,3,4
"Case 151","Female","Country A",6,5,5,5,6,4,5,5,5,6,7,5,3,3,4,5,4,5
"Case 152","Female","Country B",6,5,5,6,5,5,6,4,6,7,6,5,3,3,5,3,3,5
"Case 153","Male","Country A",5,5,4,4,3,2,4,6,4,4,5,5,2,4,2,2,2,4
"Case 154","Female","Country B",5,6,5,4,4,5,5,6,6,6,5,5,2,4,4,2,4,4
"Case 155","Female","Country B",6,5,6,4,4,5,6,5,6,5,5,6,2,4,4,3,3,4
"Case 156","Female","Country C",6,5,6,4,4,4,5,5,5,5,4,6,3,3,5,4,3,5
"Case 157","Female","Country B",6,4,7,4,5,4,6,5,5,6,6,6,3,3,4,2,2,4
"Case 158","Female","Country A",7,5,8,5,5,3,5,5,5,6,5,5,2,4,3,3,4,4
"Case 159","Male","Country A",5,6,5,5,6,6,8,4,6,7,7,4,3,3,5,3,3,5
"Case 160","Male","Country B",6,6,7,5,6,5,6,4,6,6,6,5,3,2,4,5,4,5
"Case 161","Male","Country A",5,4,6,5,4,4,5,6,5,5,6,5,2,3,4,3,3,5
"Case 162","Female","Country A",7,5,6,5,6,4,6,6,5,6,7,5,2,3,4,3,3,5
"Case 163","Female","Country B",6,4,5,5,5,5,6,4,6,6,5,6,3,3,5,4,4,5
"Case 164","Male","Country A",6,5,6,6,6,5,7,4,6,7,5,4,3,3,5,4,3,4
"Case 165","Female","Country B",6,5,6,5,4,4,5,5,5,6,6,4,2,3,4,3,4,5
"Case 166","Male","Country C",6,5,8,4,5,4,5,5,5,6,6,5,3,3,4,4,4,5
"Case 167","Female","Country C",6,5,6,4,5,5,6,5,6,5,6,5,3,2,5,3,4,5
"Case 168","Female","Country C",6,5,7,4,5,5,6,6,6,7,6,5,3,3,6,3,4,5
"Case 169","Female","Country B",6,5,4,4,4,3,4,5,4,6,7,6,3,3,4,3,3,4
"Case 170","Male","Country A",7,4,5,4,4,5,6,6,5,5,5,5,3,3,4,3,3,3
"Case 171","Female","Country C",6,5,5,3,4,4,7,4,5,6,5,6,2,4,3,3,2,4
"Case 172","Female","Country B",4,5,4,4,4,4,6,5,5,6,5,5,2,4,4,3,4,6
"Case 173","Male","Country C",5,5,5,3,4,3,6,5,5,5,6,5,3,3,4,4,3,4
"Case 174","Female","Country C",6,5,7,5,5,4,5,5,5,6,7,4,3,3,5,3,3,5
"Case 175","Male","Country C",5,5,5,5,5,4,7,5,5,7,7,5,4,2,5,3,3,5
"Case 176","Male","Country B",6,5,6,6,5,3,5,6,5,6,5,5,3,3,5,3,3,5
"Case 177","Female","Country C",7,5,7,5,6,4,6,5,5,7,7,5,3,3,3,4,4,5
"Case 178","Male","Country B",6,5,6,5,4,4,6,4,5,6,6,6,3,3,5,3,3,4
"Case 179","Male","Country C",6,6,7,5,6,4,5,6,5,6,6,5,4,3,5,3,4,5
"Case 180","Female","Country B",5,6,4,4,4,4,5,5,5,5,5,5,2,3,4,3,4,5
"Case 181","Male","Country A",6,5,7,4,5,5,7,5,6,7,6,6,3,3,5,4,4,4
"Case 182","Male","Country A",6,5,7,5,5,5,7,4,6,5,6,6,3,3,5,4,4,5
"Case 183","Male","Country A",4,6,5,3,3,6,7,5,6,5,4,6,3,3,4,3,3,4
"Case 184","Female","Country C",6,5,7,5,5,5,5,5,5,6,7,4,3,3,4,3,3,4
"Case 185","Male","Country C",7,4,6,5,5,4,5,4,5,7,5,5,4,2,5,4,4,5
"Case 186","Female","Country A",6,5,6,5,4,5,6,6,5,5,5,5,3,3,4,3,3,3
"Case 187","Male","Country B",5,6,6,4,6,5,6,4,6,7,6,5,3,3,5,3,3,3
"Case 188","Female","Country B",8,5,8,5,5,5,6,5,6,6,6,4,2,4,5,3,3,5
"Case 189","Male","Country C",4,5,5,4,4,4,5,6,5,6,6,6,3,3,5,3,4,4
"Case 190","Female","Country C",4,6,6,4,5,4,5,6,5,6,5,4,3,2,4,2,3,4
"Case 191","Male","Country A",5,5,5,5,4,4,5,6,5,6,6,5,2,3,4,3,3,5
"Case 192","Female","Country A",5,4,7,4,5,4,6,4,5,6,5,5,3,3,4,3,3,5
"Case 193","Female","Country A",5,5,5,4,3,4,7,5,5,5,5,7,2,4,4,2,3,3
"Case 194","Female","Country C",5,5,7,4,5,4,6,5,5,7,6,5,3,3,4,3,2,4
"Case 195","Female","Country B",4,5,4,4,4,4,6,5,6,5,6,6,2,4,4,3,3,4
"Case 196","Female","Country C",6,4,6,4,3,4,6,4,5,4,6,6,2,3,5,2,4,5
"Case 197","Male","Country C",5,5,6,5,4,4,6,5,5,6,4,5,3,3,5,3,4,5
"Case 198","Female","Country C",5,5,6,6,6,3,4,5,5,6,6,5,2,3,3,4,3,4
"Case 199","Male","Country C",6,4,5,4,4,4,4,5,5,5,5,5,3,3,4,4,3,4
"Case 200","Female","Country A",6,4,6,4,5,4,6,4,5,6,6,6,3,3,4,4,4,5
"Case 201","Male","Country A",5,5,5,4,6,4,4,4,5,6,6,5,2,3,4,3,3,5
"Case 202","Male","Country A",5,5,6,5,5,4,7,4,5,6,5,6,3,3,5,3,3,3
"Case 203","Female","Country C",6,5,8,5,5,4,5,5,5,5,6,5,4,3,5,4,4,5
"Case 204","Female","Country C",5,5,5,4,3,5,7,5,6,6,4,7,3,3,4,4,3,4
"Case 205","Female","Country B",7,4,6,4,5,5,6,5,6,6,6,6,3,3,5,3,3,3
"Case 206","Female","Country B",5,5,6,4,4,4,6,5,5,4,5,5,2,4,3,3,3,3
"Case 207","Female","Country C",6,5,5,4,4,4,4,6,5,5,4,5,2,4,4,3,3,5
"Case 208","Male","Country C",6,5,6,4,5,4,6,5,5,7,7,5,3,2,5,5,4,5
"Case 209","Male","Country C",5,6,6,6,5,5,6,4,6,6,6,4,2,4,4,4,2,5
"Case 210","Female","Country A",5,5,6,5,6,5,7,4,6,6,6,4,4,2,6,4,3,6
"Case 211","Female","Country A",6,5,6,5,6,5,7,5,6,8,7,5,3,3,4,3,4,5
"Case 212","Female","Country A",5,6,5,4,5,4,6,4,5,5,6,5,3,3,4,3,4,4
"Case 213","Male","Country C",6,6,5,5,5,5,7,4,6,6,7,5,3,3,4,3,4,4
"Case 214","Male","Country C",5,5,6,4,5,4,6,5,5,7,7,5,3,2,5,4,4,5
"Case 215","Female","Country A",5,5,5,5,4,5,6,5,5,6,6,6,3,3,4,2,4,4
"Case 216","Female","Country A",4,4,6,4,5,4,6,4,5,6,6,4,3,3,4,4,3,4
"Case 217","Female","Country A",5,6,6,3,5,4,5,5,5,6,6,4,3,3,4,3,3,4
"Case 218","Female","Country A",5,5,5,4,4,4,5,6,5,4,5,6,2,3,4,4,3,5
"Case 219","Male","Country B",7,5,6,5,5,4,7,5,6,7,8,5,4,3,4,4,4,6
"Case 220","Female","Country C",5,6,4,3,5,4,6,5,5,5,5,5,2,3,4,3,3,4
"Case 221","Male","Country C",6,4,7,4,5,5,7,4,5,5,6,4,3,3,5,3,3,5
"Case 222","Female","Country B",7,4,7,5,6,4,5,5,5,6,5,5,3,2,5,3,4,5
"Case 223","Male","Country C",4,6,5,5,4,6,8,3,6,6,5,5,3,3,4,4,4,4
"Case 224","Male","Country B",5,5,6,4,4,5,5,4,6,6,5,5,3,3,4,5,4,5
"Case 225","Female","Country A",5,5,6,4,4,4,5,6,5,5,7,5,3,3,4,2,2,4
"Case 226","Male","Country A",5,5,6,3,4,4,5,5,5,5,5,6,2,4,3,3,3,5
"Case 227","Female","Country C",5,6,4,5,5,5,6,5,5,6,5,7,2,4,4,3,3,4
"Case 228","Male","Country A",5,6,5,4,4,5,6,5,6,6,7,6,3,2,5,4,4,4
"Case 229","Male","Country A",5,5,5,4,5,4,5,5,5,7,6,6,2,3,4,3,4,4
"Case 230","Male","Country B",7,5,6,5,5,4,5,5,5,6,7,5,3,2,4,4,4,4
"Case 231","Female","Country A",6,4,6,5,5,4,6,5,5,5,6,4,3,3,4,3,3,4
"Case 232","Male","Country B",6,4,6,6,5,3,6,5,5,6,5,5,3,3,4,3,3,3
"Case 233","Male","Country A",6,5,7,5,5,4,5,5,5,5,6,5,3,3,4,4,3,5
"Case 234","Female","Country A",6,5,4,4,4,3,5,5,4,5,5,6,2,3,4,4,4,4
"Case 235","Female","Country B",6,5,5,5,5,5,5,6,6,6,6,6,3,2,6,4,3,5
"Case 236","Male","Country C",5,6,5,4,5,5,6,4,6,6,6,5,3,2,4,3,3,6
"Case 237","Female","Country B",5,5,6,6,5,4,7,4,5,6,6,5,4,3,5,3,3,5
"Case 238","Female","Country A",6,5,7,3,4,5,6,5,5,5,6,6,3,4,4,3,4,4
"Case 239","Male","Country C",6,5,5,4,4,5,5,4,6,5,6,5,3,3,5,3,3,4
"Case 240","Male","Country B",6,6,6,3,6,4,6,6,6,7,6,6,3,3,4,4,4,4
"Case 241","Female","Country C",5,5,5,5,5,5,6,5,6,5,6,6,3,3,4,3,3,4
"Case 242","Female","Country B",5,5,5,4,4,4,5,6,5,6,6,5,2,4,4,3,3,4
"Case 243","Female","Country B",5,5,5,5,5,4,5,5,5,5,7,5,2,4,4,3,4,4
"Case 244","Female","Country A",7,5,6,4,5,3,4,5,5,7,6,4,2,4,4,3,3,6
"Case 245","Female","Country B",6,5,6,5,5,5,5,5,6,6,5,5,3,3,4,4,3,5
"Case 246","Male","Country C",5,5,6,5,5,3,5,5,5,6,7,5,2,4,2,3,3,4
"Case 247","Male","Country A",6,5,7,5,4,5,5,6,6,4,5,5,2,4,4,3,1,4
"Case 248","Female","Country B",5,5,4,5,5,4,6,5,5,7,6,6,2,3,4,3,3,4
"Case 249","Male","Country A",6,5,4,5,4,4,5,6,5,6,6,5,2,4,5,3,3,3
"Case 250","Male","Country B",5,5,6,5,5,5,6,6,6,6,5,4,3,2,4,2,4,5
"Case 251","Male","Country B",7,4,6,5,5,5,8,4,6,6,7,5,4,2,5,4,3,5
"Case 252","Male","Country A",4,7,4,4,4,5,6,4,6,6,5,4,4,2,5,4,3,5
"Case 253","Female","Country A",5,5,5,5,5,4,6,4,5,7,7,6,3,3,5,3,3,4
"Case 254","Male","Country A",6,6,5,3,4,6,7,4,6,6,6,6,2,4,4,2,3,5
"Case 255","Male","Country C",4,5,4,4,3,4,6,5,5,5,6,5,2,3,3,2,2,3
"Case 256","Female","Country B",6,5,6,4,5,4,5,5,5,5,6,6,2,4,4,1,3,3
"Case 257","Female","Country C",5,6,5,4,5,4,6,5,5,5,6,5,2,4,4,3,2,3
"Case 258","Female","Country C",6,5,6,5,4,5,6,4,6,6,6,6,4,2,5,3,4,5
"Case 259","Female","Country B",6,4,6,5,5,5,6,4,6,6,7,6,3,2,5,4,4,5
"Case 260","Male","Country C",5,5,3,4,4,4,5,5,5,4,5,5,3,3,5,4,3,4
"Case 261","Female","Country B",7,5,6,4,5,5,6,5,6,6,6,5,3,3,6,4,4,5
"Case 262","Female","Country C",6,5,6,5,4,3,5,5,5,6,5,5,3,4,4,3,3,5
"Case 263","Female","Country B",6,5,6,4,4,4,5,5,5,6,4,6,3,3,4,3,3,4
"Case 264","Female","Country A",5,5,5,4,4,4,6,5,5,5,5,5,3,3,5,3,4,5
"Case 265","Male","Country B",5,5,5,5,4,4,6,5,5,6,8,4,3,4,4,4,4,4
"Case 266","Male","Country C",5,5,5,5,6,4,6,5,5,5,7,4,2,4,4,3,2,5
"Case 267","Female","Country A",6,5,5,5,4,5,6,4,6,6,6,5,2,3,4,3,4,5
"Case 268","Male","Country C",6,5,6,5,4,5,7,5,6,6,6,6,3,3,4,3,3,5
"Case 269","Female","Country A",5,5,6,5,5,5,6,4,6,6,6,4,3,3,5,3,3,5
"Case 270","Female","Country A",5,5,6,4,5,5,7,4,6,8,7,5,3,4,4,4,4,5
"Case 271","Male","Country B",4,5,3,4,4,4,6,6,6,6,6,4,3,3,5,3,2,3
"Case 272","Female","Country C",6,5,6,5,5,4,5,4,5,6,5,5,3,3,5,3,3,5
"Case 273","Female","Country B",4,5,4,4,5,5,7,4,6,6,6,4,3,3,5,4,4,4
"Case 274","Male","Country A",6,5,5,4,5,5,5,6,6,6,7,5,2,3,4,4,4,5
"Case 275","Male","Country B",5,5,6,4,5,4,6,4,5,6,6,5,3,3,5,2,3,4
"Case 276","Male","Country B",6,4,7,5,4,4,6,6,6,6,6,6,2,3,5,2,3,5
"Case 277","Female","Country C",6,4,6,4,4,4,7,4,5,5,5,6,3,3,4,2,4,5
"Case 278","Female","Country C",5,6,8,4,5,5,7,5,6,5,7,4,3,3,4,2,3,5
"Case 279","Male","Country B",6,5,6,5,5,4,6,5,6,6,7,5,2,3,5,3,3,4
"Case 280","Female","Country A",6,5,6,5,5,4,7,4,5,6,5,7,4,3,5,3,4,5
"Case 281","Male","Country A",6,5,6,4,5,4,5,5,4,7,6,6,3,3,4,4,2,5
"Case 282","Male","Country B",7,5,6,5,5,4,7,6,5,7,7,4,4,2,5,4,3,5
